Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"You Y., Jiang J., Jiang Z., Yang P., Liu B., Feng H., Wang X., Li N.","57439994500;57221178709;57202645862;57219603466;8444144500;57439651200;9239023700;56424359800;","TIM: threat context-enhanced TTP intelligence mining on unstructured threat data",2022,"Cybersecurity","5","1","3","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124044077&doi=10.1186%2fs42400-021-00106-5&partnerID=40&md5=fb087c5640cac29d9282ea3d09553ef2","TTPs (Tactics, Techniques, and Procedures), which represent an attacker’s goals and methods, are the long period and essential feature of the attacker. Defenders can use TTP intelligence to perform the penetration test and compensate for defense deficiency. However, most TTP intelligence is described in unstructured threat data, such as APT analysis reports. Manually converting natural language TTPs descriptions to standard TTP names, such as ATT&CK TTP names and IDs, is time-consuming and requires deep expertise. In this paper, we define the TTP classification task as a sentence classification task. We annotate a new sentence-level TTP dataset with 6 categories and 6061 TTP descriptions from 10761 security analysis reports. We construct a threat context-enhanced TTP intelligence mining (TIM) framework to mine TTP intelligence from unstructured threat data. The TIM framework uses TCENet (Threat Context Enhanced Network) to find and classify TTP descriptions, which we define as three continuous sentences, from textual data. Meanwhile, we use the element features of TTP in the descriptions to enhance the TTPs classification accuracy of TCENet. The evaluation result shows that the average classification accuracy of our proposed method on the 6 TTP categories reaches 0.941. The evaluation results also show that adding TTP element features can improve our classification accuracy compared to using only text features. TCENet also achieved the best results compared to the previous document-level TTP classification works and other popular text classification methods, even in the case of few-shot training samples. Finally, the TIM framework organizes TTP descriptions and TTP elements into STIX 2.1 format as final TTP intelligence for sharing the long-period and essential attack behavior characteristics of attackers. In addition, we transform TTP intelligence into sigma detection rules for attack behavior detection. Such TTP intelligence and rules can help defenders deploy long-term effective threat detection and perform more realistic attack simulations to strengthen defense. © 2022, The Author(s).","Advanced persistent threat (APT); Natural language processing (NLP); Threat intelligence; TTPs","Classification (of information); Information retrieval systems; Network security; Text processing; Advanced persistent threat; Attack behavior; Classification accuracy; Classification tasks; Essential features; Evaluation results; Natural language processing; Penetration test; Tactic, technique, and procedure; Threat intelligence; Natural language processing systems",Article,Scopus,2-s2.0-85124044077
"Itsuka T., Song M., Kawamura A., Kurazume R.","57440088600;57439916200;35146142000;6602093068;","Development of ROS2-TMS: new software platform for informationally structured environment",2022,"ROBOMECH Journal","9","1","1","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124008424&doi=10.1186%2fs40648-021-00216-2&partnerID=40&md5=64fcfae948325ac95907cc0c8a864872","This study proposes a new software platform, called ROS2-TMS, for an informationally structured environment. An informationally structured environment is vital for developing intelligent service robots by embedding various sensors in the environment to enhance the sensing capability and intelligence of robots. Thus far, we have been developing a software platform, named ROS-TMS, for an informationally structured environment, which connects various sensors and robots using ROS architecture. In recent years, ROS2, a next-generation version of ROS, has been released. ROS2 has many advantages, such as enhanced security, QoS control, and support for various platforms. ROS2-TMS, a new version of ROS-TMS, is developed not only by porting existing modules in ROS-TMS, such as the control system for a communication robot, but also by adding useful functions utilizing new features in ROS2. For instance, we added a voice user interface to control robots and various devices in the environment, such as lights or a bed. In addition, we implemented a new task scheduler that provides a cancelation function to stop running tasks and improve the security of the platform. © 2022, The Author(s).","Ambient sensing; Cyber physical system; Informationally structured environment; Internet of things; Service robot","Embedded systems; Intelligent robots; Internet of things; Mobile robots; User interfaces; Ambient sensing; Cybe-physical systems; Cyber-physical systems; Embeddings; Informationally structured environment; Intelligent Service robots; QoS support; Service robots; Software platforms; Structured environment; Cyber Physical System",Article,Scopus,2-s2.0-85124008424
"Nartey C., Tchao E.T., Gadze J.D., Yeboah-Akowuah B., Nunoo-Mensah H., Welte D., Sikora A.","57223396074;56602926300;15064044900;56296809100;57194388347;57215353511;15923813900;","Blockchain-IoT peer device storage optimization using an advanced time-variant multi-objective particle swarm optimization algorithm",2022,"Eurasip Journal on Wireless Communications and Networking","2022","1","5","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122333565&doi=10.1186%2fs13638-021-02074-3&partnerID=40&md5=6fe0ad829b970ce48862007e78e3ebc1","The integration of Internet of Things devices onto the Blockchain implies an increase in the transactions that occur on the Blockchain, thus increasing the storage requirements. A solution approach is to leverage cloud resources for storing blocks within the chain. The paper, therefore, proposes two solutions to this problem. The first being an improved hybrid architecture design which uses containerization to create a side chain on a fog node for the devices connected to it and an Advanced Time-variant Multi-objective Particle Swarm Optimization Algorithm (AT-MOPSO) for determining the optimal number of blocks that should be transferred to the cloud for storage. This algorithm uses time-variant weights for the velocity of the particle swarm optimization and the non-dominated sorting and mutation schemes from NSGA-III. The proposed algorithm was compared with results from the original MOPSO algorithm, the Strength Pareto Evolutionary Algorithm (SPEA-II), and the Pareto Envelope-based Selection Algorithm with region-based selection (PESA-II), and NSGA-III. The proposed AT-MOPSO showed better results than the aforementioned MOPSO algorithms in cloud storage cost and query probability optimization. Importantly, AT-MOPSO achieved 52% energy efficiency compared to NSGA-III. To show how this algorithm can be applied to a real-world Blockchain system, the BISS industrial Blockchain architecture was adapted and modified to show how the AT-MOPSO can be used with existing Blockchain systems and the benefits it provides. © 2021, The Author(s).","Blockchain; Cloud storage; Internet of Things; Particle swarm optimization; Scalability","Blockchain; Energy efficiency; Genetic algorithms; Internet of things; Multiobjective optimization; Screening; Architecture designs; Block-chain; Cloud storages; Hybrid architectures; Multi-objective particle swarm optimization algorithms; Side-chains; Solution approach; Storage optimization; Storage requirements; Time variant; Particle swarm optimization (PSO)",Article,Scopus,2-s2.0-85122333565
"Zhang J., Li T., Jiang Q., Ma J.","57190739470;57022522100;36619628100;25621725700;","Enabling efficient traceable and revocable time-based data sharing in smart city",2022,"Eurasip Journal on Wireless Communications and Networking","2022","1","3","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122306114&doi=10.1186%2fs13638-021-02072-5&partnerID=40&md5=e57aefcb0b7f2f5e2c5080d80e968e28","With the assistance of emerging techniques, such as cloud computing, fog computing and Internet of Things (IoT), smart city is developing rapidly into a novel and well-accepted service pattern these days. The trend also facilitates numerous relevant applications, e.g., smart health care, smart office, smart campus, etc., and drives the urgent demand for data sharing. However, this brings many concerns on data security as there is more private and sensitive information contained in the data of smart city applications. It may incur disastrous consequences if the shared data are illegally accessed, which necessitates an efficient data access control scheme for data sharing in smart city applications with resource-poor user terminals. To this end, we proposes an efficient traceable and revocable time-based CP-ABE (TR-TABE) scheme which can achieve time-based and fine-grained data access control over large attribute universe for data sharing in large-scale smart city applications. To trace and punish the malicious users that intentionally leak their keys to pursue illicit profits, we design an efficient user tracing and revocation mechanism with forward and backward security. For efficiency improvement, we integrate outsourced decryption and verify the correctness of its result. The proposed scheme is proved secure with formal security proof and is demonstrated to be practical for data sharing in smart city applications with extensive performance evaluation. © 2021, The Author(s).","Attribute-based encryption; Revocability; Time-based access control; Traceability; Verifiable outsourced decryption","Cryptography; Digital storage; Fog computing; Internet of things; Smart city; Attribute-based encryptions; Cloud-computing; Data access control; Data Sharing; Revocability; Service patterns; Time based; Time-based access control; Traceability; Verifiable outsourced decryption; Access control",Article,Scopus,2-s2.0-85122306114
"Disha R.A., Waheed S.","57222015082;56125618000;","Performance analysis of machine learning models for intrusion detection system using Gini Impurity-based Weighted Random Forest (GIWRF) feature selection technique",2022,"Cybersecurity","5","1","1","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122296943&doi=10.1186%2fs42400-021-00103-8&partnerID=40&md5=f4ebb8dabc141302bfa51264d23bf2a6","To protect the network, resources, and sensitive data, the intrusion detection system (IDS) has become a fundamental component of organizations that prevents cybercriminal activities. Several approaches have been introduced and implemented to thwart malicious activities so far. Due to the effectiveness of machine learning (ML) methods, the proposed approach applied several ML models for the intrusion detection system. In order to evaluate the performance of models, UNSW-NB 15 and Network TON_IoT datasets were used for offline analysis. Both datasets are comparatively newer than the NSL-KDD dataset to represent modern-day attacks. However, the performance analysis was carried out by training and testing the Decision Tree (DT), Gradient Boosting Tree (GBT), Multilayer Perceptron (MLP), AdaBoost, Long-Short Term Memory (LSTM), and Gated Recurrent Unit (GRU) for the binary classification task. As the performance of IDS deteriorates with a high dimensional feature vector, an optimum set of features was selected through a Gini Impurity-based Weighted Random Forest (GIWRF) model as the embedded feature selection technique. This technique employed Gini impurity as the splitting criterion of trees and adjusted the weights for two different classes of the imbalanced data to make the learning algorithm understand the class distribution. Based upon the importance score, 20 features were selected from UNSW-NB 15 and 10 features from the Network TON_IoT dataset. The experimental result revealed that DT performed well with the feature selection technique than other trained models of this experiment. Moreover, the proposed GIWRF-DT outperformed other existing methods surveyed in the literature in terms of the F1 score. © 2022, The Author(s).","Cyber security; Feature selection; Intrusion Detection System; Machine learning; Network security","Adaptive boosting; Computer crime; Cybersecurity; Decision trees; Feature extraction; Intrusion detection; Long short-term memory; Statistical tests; Cyber security; Features selection; Gini impurities; Intrusion Detection Systems; Machine learning models; Networks security; Performance; Performances analysis; Random forests; Selection techniques; Network security",Article,Scopus,2-s2.0-85122296943
"Arakadakis K., Charalampidis P., Makrogiannakis A., Fragkiadakis A.","57220744148;55317961600;54917542400;6507227077;","Firmware Over-the-air Programming Techniques for IoT Networks-A Survey",2022,"ACM Computing Surveys","54","9","178","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121120128&doi=10.1145%2f3472292&partnerID=40&md5=b5c29642c23af94a2b57781db32fcc2b","The devices forming Internet of Things (IoT) networks need to be re-programmed over the air, so that new features are added, software bugs or security vulnerabilities are resolved, and their applications can be re-purposed. The limitations of IoT devices, such as installation in locations with limited physical access, resource-constrained nature, large scale, and high heterogeneity, should be taken into consideration for designing an efficient and reliable pipeline for over-the-air programming (OTAP). In this work, we present a survey of OTAP techniques, which can be applied to IoT networks. We highlight the main challenges and limitations of OTAP for IoT devices and analyze the essential steps of the firmware update process, along with different approaches and techniques that implement them. In addition, we discuss schemes that focus on securing the OTAP process. Finally, we present a collection of state-of-the-art open-source and commercial platforms that integrate secure and reliable OTAP. © 2021 Association for Computing Machinery.","code dissemination; delta scripts; firmware image similarity; firmware update; Internet-of-Things (IoT); over-the-air-programming","Application programs; Internet of things; Open source software; Program debugging; Surveys; Code dissemination; Delta script; Firmware image similarity; Firmware updates; Image similarity; Internet-of-thing; Over the airs; Over-the-air-programming; Programming technique; Software bug; Firmware",Article,Scopus,2-s2.0-85121120128
"Al Ridhawi I., Bouachir O., Aloqaily M., Boukerche A.","35197863300;56027475000;35226211500;7005819374;","Design Guidelines for Cooperative UAV-supported Services and Applications",2022,"ACM Computing Surveys","54","9","185","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121119455&doi=10.1145%2f3467964&partnerID=40&md5=fc492c5a0b6b860ded1d12d6e2ed2f5e","Internet of Things (IoT) systems have advanced greatly in the past few years, especially with the support of Machine Learning (ML) and Artificial Intelligence (AI) solutions. Numerous AI-supported IoT devices are playing a significant role in providing complex and user-specific smart city services. Given the multitude of heterogeneous wireless networks, the plethora of computer and storage architectures and paradigms, and the abundance of mobile and vehicular IoT devices, true smart city experiences are only attainable through a cooperative intelligent and secure IoT framework. This article provides an extensive study on different cooperative systems and envisions a cooperative solution that supports the integration and collaboration among both centralized and distributed systems, in which intelligent AI-supported IoT devices such as smart UAVs provide support in the data collection, processing and service provisioning process. Moreover, secure and collaborative decentralized solutions such as Blockchain are considered in the service provisioning process to enable enhanced privacy and authentication features for IoT applications. As such, user-specific complex services and applications within smart city environments will be delivered and made available in a timely, secure, and efficient manner. © 2021 Association for Computing Machinery.","5G; Cooperative; internet of things; services and applications; unmanned-aerial vehicles","Antennas; Complex networks; Data handling; Digital storage; Heterogeneous networks; Internet of things; Machine learning; Smart city; Unmanned aerial vehicles (UAV); Web services; Centralised; Cooperative; Cooperative systems; Heterogeneous wireless network; Integration and collaboration; Machine-learning; Service provisioning; Services and applications; Storage architectures; Storage paradigm; 5G mobile communication systems",Article,Scopus,2-s2.0-85121119455
"Alagappan A., Venkatachary S.K., Andrews L.J.B.","57195065013;57195963365;57195068430;","Augmenting Zero Trust Network Architecture to enhance security in virtual power plants",2022,"Energy Reports","8",,,"1309","1320",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121911976&doi=10.1016%2fj.egyr.2021.11.272&partnerID=40&md5=016ad9ff24ca687cfcdef21eef698db7","Zero Trust Network Architecture implementation is gaining popularity in the ICT sector to defend and deter cyber threats or cyber crime. Considering the architecture's ability, it is unlikely that a single compromised endpoint in the zero-trust networks could spread laterally, infecting the whole network.This provides us with the ability to adopt the architecture in the energy sector. The popularity of the distributed generators helps us beself-reliant on the power and enables a consumer to supply the power to the grid. The pool of these small generators constitutes a virtual power plant. With this arrangement, its network is also exposed to security challenges. Protecting these physical systems, data protection, and information privacy becomes critical. Motivated by this convergence, this paper aims to present a comprehensive Zero trust security architecture to help reduce the risks and help secure the physical systems and ensure privacy and data protection. © 2021 The Authors","Data protection; Distributed generators; Virtual power plant; Zero trust architecture; Zero trust networks","Cybersecurity; Data privacy; Electric equipment protection; Network architecture; Network security; Cyber threats; Cyber-crimes; Distributed generators; Energy sector; Physical systems; Power; Trust networks; Virtual power plants; Zero trust architecture; Zero trust network; Distributed power generation",Article,Scopus,2-s2.0-85121911976
"Kovtun V., Izonin I., Gregus M.","57195679681;38461225700;6602734679;","Formalization of the metric of parameters for quality evaluation of the subject-system interaction session in the 5G-IoT ecosystem",2022,"Alexandria Engineering Journal","61","10",,"7941","7952",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123838122&doi=10.1016%2fj.aej.2022.01.054&partnerID=40&md5=f51b45a67288974b87616a8495ff595f","The highlight of an article is a mathematical model of the process of subject-system information interaction in the IoT ecosystem. In contrast to the existing models, the studied process is described by a simplified queuing system, reduced to a discrete Markov chain. The controlled parameter is the total amount of occupied system resources for all active sessions subject system interaction. Based on the created model, the metric of parameters that fully characterize the quality of functioning of the studied IoT system is analytically described. The proposed metric includes such stochastic characteristic parameters as the average number of active sessions of subject-system interaction in the information environment of the IoT system, the average amount of occupied system resources, and the probability of losing incoming requests due to insufficient free system resources or lack of free communication channels. The dependence of the mentioned stochastic characteristic parameters on the type and settings of the distribution function of the released system resources volume is also analytically formalized. The proposed expressions also consider the workload level of the front-end interface of the IoT system and the desired amount of system resources specified in the input request. The experiments showed that with the increasing workload on the front-end interface of the studied IoT system, the values of all characteristic parameters of the metric increase. In particular, for the studied system with an increase in load in the range from 0.8 to 1.1: - the average number of active sessions of subject-system interaction increased linearly from 11 to 16; - the average amount of occupied system resources gradually increased nonlinearly from 72% to 93%; - the probability of losing an incoming request increased exponentially from 5% to 18%. Note that the increase in the value of the probability of loss of incoming requests is exponential. It is established that the reason for such growth is the growth of variance of the main characteristic parameter of incoming requests – the value of the desired amount of system resources. The geometric distribution-based system resource management scheme also found that it mainly satisfies incoming requests with a smaller value of the desired amount of system resources and, in general, is focused on supporting already active sessions of subject-system interaction. The proposed mathematical apparatus can be used at the design stage of client-oriented 4G-LTE, 5G, and, potentially, 6G ecosystems. © 2022","5G-IoT ecosystem; Availability; discrete Markov chain; Quality metric; Subject-system interaction session","Availability; Distribution functions; Ecosystems; Internet of things; Markov processes; Parameter estimation; Quality control; Stochastic systems; 5g-IoT ecosystem; Average numbers; Characteristics parameters; Discrete markov chain; Front end; Quality metrices; Stochastic characteristic; Subject-system interaction session; System interactions; System resources; 5G mobile communication systems",Article,Scopus,2-s2.0-85123838122
"Liu Y., Zhou Y., Zhang R., Tao Y.","57218586371;8910976100;57188866614;57194784205;","(Full) Leakage resilience of Fiat-Shamir signatures over lattices",2022,"Frontiers of Computer Science","16","5","165819","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122700129&doi=10.1007%2fs11704-021-0586-3&partnerID=40&md5=5ca807726cc1828d33aae87c4523c13d","Fiat-Shamir is a mainstream construction paradigm of lattice-based signature schemes. While its theoretical security is well-studied, its implementation security in the presence of leakage is a relatively under-explored topic. Specifically, even some side-channel attacks on lattice-based Fiat-Shamir signature (FS-Sig) schemes have been proposed since 2016, little work on the leakage resilience of these schemes appears. Worse still, the proof idea of the leakage resilience of FS-Sig schemes based on traditional number-theoretic assumptions does not apply to most lattice-based FS-Sig schemes. For this, we propose a framework to construct fully leakage resilient lattice-based FS-Sig schemes in the bounded memory leakage (BML) model. The framework consists of two parts. The first part shows how to construct leakage resilient FS-Sig schemes in BML model from leakage resilient versions of non-lossy or lossy identification schemes, which can be instantiated based on lattice assumptions. The second part shows how to construct fully leakage resilient FS-Sig schemes based on leakage resilient ones together with a new property called state reconstruction. We show almost all lattice-based FS-Sig schemes have this property. As a concrete application of our fundamental framework, we apply it to existing lattice-based FS-Sig schemes and provide analysis results of their security in the leakage setting. © 2022, Higher Education Press.","Fiat-Shamir paradigm; lattice-based signatures; leakage resilience; post-quantum cryptography; side-channel attacks","Authentication; Network security; Quantum cryptography; Bounded memory; Fiat-Shamir; Fiat-shamir paradigm; Fiat-Shamir signatures; Lattice-based; Lattice-based signature; Leakage-resilience; Post quantum cryptography; Side-channel attacks; Signature Scheme; Side channel attack",Article,Scopus,2-s2.0-85122700129
