Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"Ferraz Junior N., Silva A.A.A., Guelfi A.E., Kofuji S.T.","57196456341;54785262900;7801319670;6603630423;","Performance evaluation of publish-subscribe systems in IoT using energy-efficient and context-aware secure messages",2022,"Journal of Cloud Computing","11","1","6","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124020270&doi=10.1186%2fs13677-022-00278-6&partnerID=40&md5=92d1b13e2f0b920297800e9e36b836eb","Background: The Internet of Things (IoT) enables the development of innovative applications in various domains such as healthcare, transportation, and Industry 4.0. Publish-subscribe systems enable IoT devices to communicate with the cloud platform. However, IoT applications need context-aware messages to translate the data into contextual information, allowing the applications to act cognitively. Besides, end-to-end security of publish-subscribe messages on both ends (devices and cloud) is essential. However, achieving security on constrained IoT devices with memory, payload, and energy restrictions is a challenge. Contribution: Messages in IoT need to achieve both energy efficiency and secure delivery. Thus, the main contribution of this paper refers to a performance evaluation of a message structure that standardizes the publish-subscribe topic and payload used by the cloud platform and the IoT devices. We also propose a standardization for the topic and payload for publish-subscribe systems. Conclusion: The messages promote energy efficiency, enabling ultra-low-power and high-capacity devices and reducing the bytes transmitted in the IoT domain. The performance evaluation demonstrates that publish-subscribe systems (namely, AMQP, DDS, and MQTT) can use our proposed energy-efficient message structure on IoT. Additionally, the message system provides end-to-end confidentiality, integrity, and authenticity between IoT devices and the cloud platform. © 2022, The Author(s).","Context-aware messages; IoT; Publish-subscribe; Security; WSN","Energy efficiency; Publishing; Cloud platforms; Context-Aware; Context-aware message; Energy efficient; Message structures; Performances evaluation; Publish/subscribe; Publish/Subscribe system; Security; WSN; Internet of things",Article,Scopus,2-s2.0-85124020270
"Itsuka T., Song M., Kawamura A., Kurazume R.","57440088600;57439916200;35146142000;6602093068;","Development of ROS2-TMS: new software platform for informationally structured environment",2022,"ROBOMECH Journal","9","1","1","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124008424&doi=10.1186%2fs40648-021-00216-2&partnerID=40&md5=64fcfae948325ac95907cc0c8a864872","This study proposes a new software platform, called ROS2-TMS, for an informationally structured environment. An informationally structured environment is vital for developing intelligent service robots by embedding various sensors in the environment to enhance the sensing capability and intelligence of robots. Thus far, we have been developing a software platform, named ROS-TMS, for an informationally structured environment, which connects various sensors and robots using ROS architecture. In recent years, ROS2, a next-generation version of ROS, has been released. ROS2 has many advantages, such as enhanced security, QoS control, and support for various platforms. ROS2-TMS, a new version of ROS-TMS, is developed not only by porting existing modules in ROS-TMS, such as the control system for a communication robot, but also by adding useful functions utilizing new features in ROS2. For instance, we added a voice user interface to control robots and various devices in the environment, such as lights or a bed. In addition, we implemented a new task scheduler that provides a cancelation function to stop running tasks and improve the security of the platform. © 2022, The Author(s).","Ambient sensing; Cyber physical system; Informationally structured environment; Internet of things; Service robot","Embedded systems; Intelligent robots; Internet of things; Mobile robots; User interfaces; Ambient sensing; Cybe-physical systems; Cyber-physical systems; Embeddings; Informationally structured environment; Intelligent Service robots; QoS support; Service robots; Software platforms; Structured environment; Cyber Physical System",Article,Scopus,2-s2.0-85124008424
"Ebrahimi M., Bayat M., Zahednejad B.","57427711100;36988077200;57200522293;","A Privacy Preserving Mutual Authentication Scheme Suitable for IoT-Based Medical Systems",2022,"ISeCure","14","1",,"57","68",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123530728&doi=10.22042%2fISECURE.2021.183936.463&partnerID=40&md5=5465320b306ced312b9632dfff7fca72","The medical system remains among the fastest to adopt the internet of things. The reason for this trend is that integration internet of things (IoT) features into medical devices greatly improve the quality and effectiveness of service. However, there are many unsolved security problems. Due to medical information is critical and important, authentication between users and medical servers is an essential issue. Recently, Park et al. proposed an authentication scheme using Shamir’s threshold technique for IoT-based medical information system and claimed that their scheme satisfies all security requirements and is immune to various types of attacks. However, in this paper, we show that Park et al.’s scheme does not achieve user anonymity, forward security, and mutual authentication and it is not resistant to the DoS attacks and then we introduce an improved mutual authentication scheme based on elliptic curve cryptography (ECC) and Shamir’s secret sharing for IoT-based medical information system. In this paper, we formally analyze the security properties of our scheme via the ProVerif. Moreover, we compare our proposed scheme with other related schemes in terms of security and performance. © 2020 ISC. All rights reserved.","Authentication; Internet of Things; Medical System; Privacy Preserving; ProVerif; Security",,Article,Scopus,2-s2.0-85123530728
"Nedelcu S., Thodkar K., Hierold C.","57219413842;56382509500;6602906643;","A customizable, low-power, wireless, embedded sensing platform for resistive nanoscale sensors",2022,"Microsystems and Nanoengineering","8","1","10","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123085671&doi=10.1038%2fs41378-021-00343-1&partnerID=40&md5=42e16e30d02b6d5dab3f42c04734af46","Customizable, portable, battery-operated, wireless platforms for interfacing high-sensitivity nanoscale sensors are a means to improve spatiotemporal measurement coverage of physical parameters. Such a platform can enable the expansion of IoT for environmental and lifestyle applications. Here we report a platform capable of acquiring currents ranging from 1.5 nA to 7.2 µA full-scale with 20-bit resolution and variable sampling rates of up to 3.125 kSPS. In addition, it features a bipolar voltage programmable in the range of −10 V to +5 V with a 3.65 mV resolution. A Finite State Machine steers the system by executing a set of embedded functions. The FSM allows for dynamic, customized adjustments of the nanosensor bias, including elevated bias schemes for self-heating, measurement range, bandwidth, sampling rate, and measurement time intervals. Furthermore, it enables data logging on external memory (SD card) and data transmission over a Bluetooth low energy connection. The average power consumption of the platform is 64.5 mW for a measurement protocol of three samples per second, including a BLE advertisement of a 0 dBm transmission power. A state-of-the-art (SoA) application of the platform performance using a CNT nanosensor, exposed to NO2 gas concentrations from 200 ppb down to 1 ppb, has been demonstrated. Although sensor signals are measured for NO2 concentrations of 1 ppb, the 3σ limit of detection (LOD) of 23 ppb is determined (1σ: 7 ppb) in slope detection mode, including the sensor signal variations in repeated measurements. The platform’s wide current range and high versatility make it suitable for signal acquisition from resistive nanosensors such as silicon nanowires, carbon nanotubes, graphene, and other 2D materials. Along with its overall low power consumption, the proposed platform is highly suitable for various sensing applications within the context of IoT. © 2022, The Author(s).",,"Carbon nanotubes; Electric power utilization; Internet of things; Nitrogen oxides; Signal processing; Customizable; Embedded sensing; High sensitivity; Low power wireless; Nanoscale sensors; Physical parameters; Sensing platforms; Sensor signals; Spatiotemporal measurement; Wireless platform; Nanosensors",Article,Scopus,2-s2.0-85123085671
"Ben Brahim G., Mohammad N., El-Hajj W., Parr G., Scotney B.","6506167977;55799662500;21833644200;57207616918;6701586452;","Performance evaluation and comparison study of adaptive MANET service location and discovery protocols for highly dynamic environments",2022,"Eurasip Journal on Wireless Communications and Networking","2022","1","6","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122703343&doi=10.1186%2fs13638-021-02081-4&partnerID=40&md5=e0efd98a8dbcdfdbe62f8aba143984ae","A critical requirement in Mobile Ad Hoc Networks (MANETs) is its ability to automatically discover existing services as well as their locations. Several solutions have been proposed in various communication domains which could be classified into two categories: (1) directory based, and (2) directory-less. The former is efficient but suffers from the amount of control messages being exchanged to maintain all directories in an agile environment. However, the latter approach attempts to reduce the amount of control messages to update directories, by simply sending broadcast messages to discover services; which is also a non-desirable approach in MANETs. This research work builds on top of our prior work (Nazeeruddin et al. in IFIP/IEEE international conference on management of multimedia networks and services, Springer, Berlin, 2006)) where we introduced a new efficient protocol for service discovery in MANETs (MSLD); a lightweight, robust, scalable, and flexible protocol which supports node heterogeneity and dynamically adapts to network changes while not flooding the network with extra protocol messages—a major challenge in today’s network environments, such as Internet of Things (IoT). Extensive simulations study was conducted on MSLD to: (1) initially evaluate its performance in terms of latency, service availability, and overhead messages, then (2) compare its performance to Dir-Based, Dir-less, and PDP protocols under various network conditions. For most performance metrics, simulation results show that MSLD outperforms Dir-Based, Dir-less, and PDP by either matching or achieving high service availability, low service discovery latency, and considerably less communication overhead. © 2021, The Author(s).","Auto-configuration; Distributed directory-based approach; Mobile Ad hoc networks; Service discovery protocol","Internet of things; Internet protocols; Multimedia services; Auto-configuration; Control messages; Discovery protocol; Distributed directory-based approach; Mobile ad-hoc networks; Performance; Performances evaluation; Service discovery; Service discovery protocol; Services availability; Mobile ad hoc networks",Article,Scopus,2-s2.0-85122703343
"Nartey C., Tchao E.T., Gadze J.D., Yeboah-Akowuah B., Nunoo-Mensah H., Welte D., Sikora A.","57223396074;56602926300;15064044900;56296809100;57194388347;57215353511;15923813900;","Blockchain-IoT peer device storage optimization using an advanced time-variant multi-objective particle swarm optimization algorithm",2022,"Eurasip Journal on Wireless Communications and Networking","2022","1","5","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122333565&doi=10.1186%2fs13638-021-02074-3&partnerID=40&md5=6fe0ad829b970ce48862007e78e3ebc1","The integration of Internet of Things devices onto the Blockchain implies an increase in the transactions that occur on the Blockchain, thus increasing the storage requirements. A solution approach is to leverage cloud resources for storing blocks within the chain. The paper, therefore, proposes two solutions to this problem. The first being an improved hybrid architecture design which uses containerization to create a side chain on a fog node for the devices connected to it and an Advanced Time-variant Multi-objective Particle Swarm Optimization Algorithm (AT-MOPSO) for determining the optimal number of blocks that should be transferred to the cloud for storage. This algorithm uses time-variant weights for the velocity of the particle swarm optimization and the non-dominated sorting and mutation schemes from NSGA-III. The proposed algorithm was compared with results from the original MOPSO algorithm, the Strength Pareto Evolutionary Algorithm (SPEA-II), and the Pareto Envelope-based Selection Algorithm with region-based selection (PESA-II), and NSGA-III. The proposed AT-MOPSO showed better results than the aforementioned MOPSO algorithms in cloud storage cost and query probability optimization. Importantly, AT-MOPSO achieved 52% energy efficiency compared to NSGA-III. To show how this algorithm can be applied to a real-world Blockchain system, the BISS industrial Blockchain architecture was adapted and modified to show how the AT-MOPSO can be used with existing Blockchain systems and the benefits it provides. © 2021, The Author(s).","Blockchain; Cloud storage; Internet of Things; Particle swarm optimization; Scalability","Blockchain; Energy efficiency; Genetic algorithms; Internet of things; Multiobjective optimization; Screening; Architecture designs; Block-chain; Cloud storages; Hybrid architectures; Multi-objective particle swarm optimization algorithms; Side-chains; Solution approach; Storage optimization; Storage requirements; Time variant; Particle swarm optimization (PSO)",Article,Scopus,2-s2.0-85122333565
"Halim D.K., Hutagalung S.","57189345352;57208304977;","Towards data sharing economy on Internet of Things: a semantic for telemetry data",2022,"Journal of Big Data","9","1","1","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122322887&doi=10.1186%2fs40537-021-00549-0&partnerID=40&md5=a7a4b36ec607ed12123eacf01c88a544","Internet of Things (IoT) provides data processing and machine learning techniques with access to physical world data through sensors, namely telemetry data. Acquiring sensor data through IoT faces challenges such as connectivity and proper measurement requiring domain-specific knowledge, that results in data quality problems. Data sharing is one solution to this. In this work, we propose IoT Telemetry Data Hub (IoT TeleHub), a general framework and semantic for telemetry data collection and sharing. The framework is principled on abstraction, layering of elements, and extensibility and openness. We showed that while the framework is defined specifically for telemetry data, it is general enough to be mapped to existing IoT platforms with various use cases. Our framework also considers the machine-readable and machine-understandable notion in regard to resource-constrained IoT devices. We also present IoThingsHub, an IoT platform for real-time data sharing based on the proposed framework. The platform demonstrated that the framework could be implemented with existing technologies such as HTTP, MQTT, SQL, NoSQL. © 2021, The Author(s).","Data semantic; Data sharing; Framework; Internet of Things; Interoperability; Platform",,Article,Scopus,2-s2.0-85122322887
"Zhang J., Li T., Jiang Q., Ma J.","57190739470;57022522100;36619628100;25621725700;","Enabling efficient traceable and revocable time-based data sharing in smart city",2022,"Eurasip Journal on Wireless Communications and Networking","2022","1","3","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122306114&doi=10.1186%2fs13638-021-02072-5&partnerID=40&md5=e57aefcb0b7f2f5e2c5080d80e968e28","With the assistance of emerging techniques, such as cloud computing, fog computing and Internet of Things (IoT), smart city is developing rapidly into a novel and well-accepted service pattern these days. The trend also facilitates numerous relevant applications, e.g., smart health care, smart office, smart campus, etc., and drives the urgent demand for data sharing. However, this brings many concerns on data security as there is more private and sensitive information contained in the data of smart city applications. It may incur disastrous consequences if the shared data are illegally accessed, which necessitates an efficient data access control scheme for data sharing in smart city applications with resource-poor user terminals. To this end, we proposes an efficient traceable and revocable time-based CP-ABE (TR-TABE) scheme which can achieve time-based and fine-grained data access control over large attribute universe for data sharing in large-scale smart city applications. To trace and punish the malicious users that intentionally leak their keys to pursue illicit profits, we design an efficient user tracing and revocation mechanism with forward and backward security. For efficiency improvement, we integrate outsourced decryption and verify the correctness of its result. The proposed scheme is proved secure with formal security proof and is demonstrated to be practical for data sharing in smart city applications with extensive performance evaluation. © 2021, The Author(s).","Attribute-based encryption; Revocability; Time-based access control; Traceability; Verifiable outsourced decryption","Cryptography; Digital storage; Fog computing; Internet of things; Smart city; Attribute-based encryptions; Cloud-computing; Data access control; Data Sharing; Revocability; Service patterns; Time based; Time-based access control; Traceability; Verifiable outsourced decryption; Access control",Article,Scopus,2-s2.0-85122306114
"Arakadakis K., Charalampidis P., Makrogiannakis A., Fragkiadakis A.","57220744148;55317961600;54917542400;6507227077;","Firmware Over-the-air Programming Techniques for IoT Networks-A Survey",2022,"ACM Computing Surveys","54","9","178","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121120128&doi=10.1145%2f3472292&partnerID=40&md5=b5c29642c23af94a2b57781db32fcc2b","The devices forming Internet of Things (IoT) networks need to be re-programmed over the air, so that new features are added, software bugs or security vulnerabilities are resolved, and their applications can be re-purposed. The limitations of IoT devices, such as installation in locations with limited physical access, resource-constrained nature, large scale, and high heterogeneity, should be taken into consideration for designing an efficient and reliable pipeline for over-the-air programming (OTAP). In this work, we present a survey of OTAP techniques, which can be applied to IoT networks. We highlight the main challenges and limitations of OTAP for IoT devices and analyze the essential steps of the firmware update process, along with different approaches and techniques that implement them. In addition, we discuss schemes that focus on securing the OTAP process. Finally, we present a collection of state-of-the-art open-source and commercial platforms that integrate secure and reliable OTAP. © 2021 Association for Computing Machinery.","code dissemination; delta scripts; firmware image similarity; firmware update; Internet-of-Things (IoT); over-the-air-programming","Application programs; Internet of things; Open source software; Program debugging; Surveys; Code dissemination; Delta script; Firmware image similarity; Firmware updates; Image similarity; Internet-of-thing; Over the airs; Over-the-air-programming; Programming technique; Software bug; Firmware",Article,Scopus,2-s2.0-85121120128
"Al Ridhawi I., Bouachir O., Aloqaily M., Boukerche A.","35197863300;56027475000;35226211500;7005819374;","Design Guidelines for Cooperative UAV-supported Services and Applications",2022,"ACM Computing Surveys","54","9","185","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121119455&doi=10.1145%2f3467964&partnerID=40&md5=fc492c5a0b6b860ded1d12d6e2ed2f5e","Internet of Things (IoT) systems have advanced greatly in the past few years, especially with the support of Machine Learning (ML) and Artificial Intelligence (AI) solutions. Numerous AI-supported IoT devices are playing a significant role in providing complex and user-specific smart city services. Given the multitude of heterogeneous wireless networks, the plethora of computer and storage architectures and paradigms, and the abundance of mobile and vehicular IoT devices, true smart city experiences are only attainable through a cooperative intelligent and secure IoT framework. This article provides an extensive study on different cooperative systems and envisions a cooperative solution that supports the integration and collaboration among both centralized and distributed systems, in which intelligent AI-supported IoT devices such as smart UAVs provide support in the data collection, processing and service provisioning process. Moreover, secure and collaborative decentralized solutions such as Blockchain are considered in the service provisioning process to enable enhanced privacy and authentication features for IoT applications. As such, user-specific complex services and applications within smart city environments will be delivered and made available in a timely, secure, and efficient manner. © 2021 Association for Computing Machinery.","5G; Cooperative; internet of things; services and applications; unmanned-aerial vehicles","Antennas; Complex networks; Data handling; Digital storage; Heterogeneous networks; Internet of things; Machine learning; Smart city; Unmanned aerial vehicles (UAV); Web services; Centralised; Cooperative; Cooperative systems; Heterogeneous wireless network; Integration and collaboration; Machine-learning; Service provisioning; Services and applications; Storage architectures; Storage paradigm; 5G mobile communication systems",Article,Scopus,2-s2.0-85121119455
