Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"Lucero-Obusan C., Oda G., Mostaghimi A., Schirmer P., Holodniy M.","55646105500;8790286200;57449909700;26657639300;7004800293;","Public health surveillance in the U.S. Department of Veterans Affairs: evaluation of the Praedico surveillance system",2022,"BMC Public Health","22","1","272","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124500716&doi=10.1186%2fs12889-022-12578-2&partnerID=40&md5=e348ec5ee3dba358ed59a12a36dbc8b9","Background: Early threat detection and situational awareness are vital to achieving a comprehensive and accurate view of health-related events for federal, state, and local health agencies. Key to this are public health and syndromic surveillance systems that can analyze large data sets to discover patterns, trends, and correlations of public health significance. In 2020, Department of Veterans Affairs (VA) evaluated its public health surveillance system and identified areas for improvement. Methods: Using the Centers for Disease Control and Prevention (CDC) Guidelines for Evaluating Public Health Surveillance Systems, we assessed the ability of the Praedico Surveillance System to perform public health surveillance for a variety of health issues and evaluated its performance compared to an enterprise data solution (VA Corporate Data Warehouse), legacy surveillance system (VA ESSENCE) and a national, collaborative syndromic surveillance platform (CDC NSSP BioSense). Results: Review of system attributes found that the system was simple, flexible, and stable. Representativeness, timeliness, sensitivity, and Predictive Value Positive were acceptable but could be further improved. Data quality issues and acceptability present challenges that potentially affect the overall usefulness of the system. Conclusions: Praedico is a customizable surveillance and data analytics platform built on big data technologies. Functionality is straightforward, with rapid query generation and runtimes. Data can be graphed, mapped, analyzed, and shared with key decision makers and stakeholders. Evaluation findings suggest that future development and system enhancements should focus on addressing Praedico data quality issues and improving user acceptability. Because Praedico is designed to handle big data queries and work with data from a variety of sources, it could be enlisted as a tool for interdepartmental and interagency collaboration and public health data sharing. We suggest that future system evaluations include measurements of value and effectiveness along with additional organizations and functional assessments. © 2022, The Author(s).","Big data; Electronic health records; Health informatics; Public health; Surveillance; Syndromic surveillance; System evaluation; Veterans",,Article,Scopus,2-s2.0-85124500716
"Jilka S., Odoi C.M., van Bilsen J., Morris D., Erturk S., Cummins N., Cella M., Wykes T.","55245639900;57202603480;57226165979;56360681700;57226160670;55350497300;24333907400;57369420600;","Identifying schizophrenia stigma on Twitter: a proof of principle model using service user supervised machine learning",2022,"npj Schizophrenia","8","1","1","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124453167&doi=10.1038%2fs41537-021-00197-6&partnerID=40&md5=22afef66c17b34fbe156206cb33a1ccb","Stigma has negative effects on people with mental health problems by making them less likely to seek help. We develop a proof of principle service user supervised machine learning pipeline to identify stigmatising tweets reliably and understand the prevalence of public schizophrenia stigma on Twitter. A service user group advised on the machine learning model evaluation metric (fewest false negatives) and features for machine learning. We collected 13,313 public tweets on schizophrenia between January and May 2018. Two service user researchers manually identified stigma in 746 English tweets; 80% were used to train eight models, and 20% for testing. The two models with fewest false negatives were compared in two service user validation exercises, and the best model used to classify all extracted public English tweets. Tweets classed as stigmatising by service users were more negative in sentiment (t (744) = 12.02, p < 0.001 [95% CI: 0.196–0.273]). Our linear Support Vector Machine was the best performing model with fewest false negatives and higher service user validation. This model identified public stigma in 47% of English tweets (n5,676) which were more negative in sentiment (t (12,143) = 64.38, p < 0.001 [95% CI: 0.29–0.31]). Machine learning can identify stigmatising tweets at large scale, with service user involvement. Given the prevalence of stigma, there is an urgent need for education and online campaigns to reduce it. Machine learning can provide a real time metric on their success. © 2022, The Author(s).",,"Article; big data; clinical evaluation; clinical feature; comparative study; controlled study; dimensionality reduction; false negative result; health service; human; linear support vector machine; prevalence; random forest; schizophrenia; sentiment analysis; social media; social stigma; supervised machine learning",Article,Scopus,2-s2.0-85124453167
"Rezaei M., Sanayei A., Aghdaie S.F.A., Ansari A.","57447548800;55823623500;55090108600;55673218300;","Improving the Omnichannel Customers’ Lifetime Value Using Association Rules Data Mining: A Case Study of Agriculture Bank of Iran",2022,"Iranian journal of Management Studies","15","1",,"49","68",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124420044&doi=10.22059%2fIJMS.2021.314405.674317&partnerID=40&md5=aa1c1219e9d2fa56210f51f0392ac03b","Multi-channel marketing causes the customer to lack a unique identity in different channels. This issue overshadows the synergy of the channels in strengthening the positive attitude of the customers. However, an omnichannel marketing strategy can work properly. The main purpose of this study, which was conducted in Agriculture Bank of Iran, was to develop a comprehensive model for calculating customers’ lifetime values, analyzing customers’ behaviors in different channels by association rules data mining, and analyzing the relationship between omnichannel strategy and CLV. First, the association rules in the big data of customers’ banking transactions in different channels were identified using association rules data mining. Then, the CLV indicators were identified and prioritized using interviews, questionnaires, and AHP methods, and the lifetime values of omnichannel and other customers were calculated and compared using t-test. Then, omnichannel customers were categorized based on the association rules and the lifetime values of omnichannel customers of different categories was compared using ANOVA method. Eleven association rules regarding the use of banking channels by omnichannel customers were identified. The results show that there is a significant difference between the lifetime values of omnichannel customers and other customers and the lifetime values of omnichannel customers is 134% more. © 2021 University of Tehran, College of Farabi. All Rights Reserved.","Association rule data mining; Big data; CLV; Keyword: Omnichannel marketing; Omnichannel banking",,Article,Scopus,2-s2.0-85124420044
"Xie H., Cui X., Ying X., Hu X., Xuan J., Xu S.","57443783400;57443205300;57263793100;57443009000;55618446000;57262708900;","Development of a novel hospital payment system – Big data diagnosis & intervention Packet",2022,"Health Policy OPEN","3",,"100066","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124235584&doi=10.1016%2fj.hpopen.2022.100066&partnerID=40&md5=ff230a7b47c11ecbf7571e99e1029d84","The diagnosis related group (DRG) was the most commonly used prospective hospital payment platform in developed countries. One of the major limitations of the DRG system is that the DRG grouping is not sufficiently homogeneous in benchmarking underlying resource needs. We developed a novel hospital payment and management system called Big Data Diagnosis & Intervention Packet (BD-DIP) by applying the similar case mix index (CMI) principles but the grouping is based on unique combination of ICD-10 and ICD-9 v3 codes. The initial prototype of BD-DIP was developed using hospital discharge records in Shanghai and then piloted in Guangzhou, China. The average coefficient of variation of the DB-DIP is about one-third smaller than the US DRG system. Results from the pilot evaluation showed that introduction of the BD-DIP lead to about 5% hospital budget savings and notable improvement in hospital care efficiency, including increased institutional CMI, lower admission rates, smaller variation in hospital charges, and lower patient cost-sharing burdens. The implementation of hospital monitoring tools resulted in identification of potential irregular practices to enable further auditing and investigation. The BD-DIP platform has a number of advantages over DRG-based payment models in terms of more homogeneous resource utilization within groups, design simplicity, dynamic in grouping, and reimbursement value in reflecting real-world treatment pathways and costs, and easy to implement. © 2022 The Author(s)","Big Data; Case Mix; Diagnosis-Related Groups; International Classification of Diseases; Novel Hospital Payment Platform",,Article,Scopus,2-s2.0-85124235584
"Zhang J., Olatosi B., Yang X., Weissman S., Li Z., Hu J., Li X.","57345979900;16068980200;57224940955;57441629000;57285179900;57441627800;57204836921;","Studying patterns and predictors of HIV viral suppression using A Big Data approach: a research protocol",2022,"BMC Infectious Diseases","22","1","122","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124113819&doi=10.1186%2fs12879-022-07047-5&partnerID=40&md5=71a41246aabdc82a6b088fb7eb9748d4","Background: Given the importance of viral suppression in ending the HIV epidemic in the US and elsewhere, an optimal predictive model of viral status can help clinicians identify those at risk of poor viral control and inform clinical improvements in HIV treatment and care. With an increasing availability of electronic health record (EHR) data and social environmental information, there is a unique opportunity to improve our understanding of the dynamic pattern of viral suppression. Using a statewide cohort of people living with HIV (PLWH) in South Carolina (SC), the overall goal of the proposed research is to examine the dynamic patterns of viral suppression, develop optimal predictive models of various viral suppression indicators, and translate the models to a beta version of service-ready tools for clinical decision support. Methods: The PLWH cohort will be identified through the SC Enhanced HIV/AIDS Reporting System (eHARS). The SC Office of Revenue and Fiscal Affairs (RFA) will extract longitudinal EHR clinical data of all PLWH in SC from multiple health systems, obtain data from other state agencies, and link the patient-level data with county-level data from multiple publicly available data sources. Using the deidentified data, the proposed study will consist of three operational phases: Phase 1: “Pattern Analysis” to identify the longitudinal dynamics of viral suppression using multiple viral load indicators; Phase 2: “Model Development” to determine the critical predictors of multiple viral load indicators through artificial intelligence (AI)-based modeling accounting for multilevel factors; and Phase 3: “Translational Research” to develop a multifactorial clinical decision system based on a risk prediction model to assist with the identification of the risk of viral failure or viral rebound when patients present at clinical visits. Discussion: With both extensive data integration and data analytics, the proposed research will: (1) improve the understanding of the complex inter-related effects of longitudinal trajectories of HIV viral suppressions and HIV treatment history while taking into consideration multilevel factors; and (2) develop empirical public health approaches to achieve ending the HIV epidemic through translating the risk prediction model to a multifactorial decision system that enables the feasibility of AI-assisted clinical decisions. © 2022, The Author(s).","Data analytics; HIV/AIDS; Pattern analysis; Viral rebound; Viral suppression","acquired immune deficiency syndrome; artificial intelligence; human; Human immunodeficiency virus infection; virus load; Acquired Immunodeficiency Syndrome; Artificial Intelligence; Big Data; HIV Infections; Humans; Viral Load",Article,Scopus,2-s2.0-85124113819
"Brossard P.-Y., Minvielle E., Sicotte C.","57439826200;6603383439;7003460448;","The path from big data analytics capabilities to value in hospitals: a scoping review",2022,"BMC Health Services Research","22","1","134","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123987577&doi=10.1186%2fs12913-021-07332-0&partnerID=40&md5=a54332b42974bf5ddc5c5bef2aca7d1e","Background: As the uptake of health information technologies increased, most healthcare organizations have become producers of big data. A growing number of hospitals are investing in the development of big data analytics (BDA) capabilities. If the promises associated with these capabilities are high, how hospitals create value from it remains unclear. The present study undertakes a scoping review of existing research on BDA use in hospitals to describe the path from BDA capabilities (BDAC) to value and its associated challenges. Methods: This scoping review was conducted following Arksey and O’Malley’s 5 stages framework. A systematic search strategy was adopted to identify relevant articles in Scopus and Web of Science. Data charting and extraction were performed following an analytical framework that builds on the resource-based view of the firm to describe the path from BDA capabilities to value in hospitals. Results: Of 1,478 articles identified, 94 were included. Most of them are experimental research (n=69) published in medical (n=66) or computer science journals (n=28). The main value targets associated with the use of BDA are improving the quality of decision-making (n=56) and driving innovation (n=52) which apply mainly to care (n=67) and administrative (n=48) activities. To reach these targets, hospitals need to adequately combine BDA capabilities and value creation mechanisms (VCM) to enable knowledge generation and drive its assimilation. Benefits are endpoints of the value creation process. They are expected in all articles but realized in a few instances only (n=19). Conclusions: This review confirms the value creation potential of BDA solutions in hospitals. It also shows the organizational challenges that prevent hospitals from generating actual benefits from BDAC-building efforts. The configuring of strategies, technologies and organizational capabilities underlying the development of value-creating BDA solutions should become a priority area for research, with focus on the mechanisms that can drive the alignment of BDA and organizational strategies, and the development of organizational capabilities to support knowledge generation and assimilation. © 2022, The Author(s).","Big data analytics; Capabilities; Hospitals; Resource-based view; Value creation","hospital; medical informatics; Big Data; Data Science; Hospitals; Medical Informatics",Article,Scopus,2-s2.0-85123987577
"Mosharraf S.I.M., Adnan M.A.","57432907300;57211201230;","Improving lookup and query execution performance in distributed Big Data systems using Cuckoo Filter",2022,"Journal of Big Data","9","1","12","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123774848&doi=10.1186%2fs40537-022-00563-w&partnerID=40&md5=110f3a366cfa04470c6335c380920c57","Performance is a critical concern when reading and writing data from billions of records stored in a Big Data warehouse. We introduce two scopes for query performance improvement. One is to improve the performance of lookup queries after data deletion in Big Data systems that use Eventual Consistency. We propose a scheme to improve lookup performance after data deletion by using Cuckoo Filter. Another scope for improvement is to avoid unnecessary network round-trips for querying in remote nodes in a distributed Big Data cluster when it is known that the nodes do not have requested partition of data. We propose a scheme using probabilistic filters that are looked up before querying remote nodes so that queries resulting in no data can be skipped from passing through the network. We evaluate our schemes with Cassandra using real dataset and show that each scheme can improve performance of lookup queries for up to 2x. © 2022, The Author(s).","Big Data; Bloom filter; Cuckoo Filter; Distributed systems; Probabilistic data structure; Query optimization",,Article,Scopus,2-s2.0-85123774848
"Vranopoulos G., Clarke N., Atkinson S.","57410075100;8961310300;22233456400;","Addressing big data variety using an automated approach for data characterization",2022,"Journal of Big Data","9","1","8","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122723984&doi=10.1186%2fs40537-021-00554-3&partnerID=40&md5=de6dd6d0e3548e6918b5e20b102c9018","The creation of new knowledge from manipulating and analysing existing knowledge is one of the primary objectives of any cognitive system. Most of the effort on Big Data research has been focussed upon Volume and Velocity, while Variety, “the ugly duckling” of Big Data, is often neglected and difficult to solve. A principal challenge with Variety is being able to understand and comprehend the data. This paper proposes and evaluates an automated approach for metadata identification and enrichment in describing Big Data. The paper focuses on the use of self-learning systems that will enable automatic compliance of data against regulatory requirements along with the capability of generating valuable and readily usable metadata towards data classification. Two experiments towards data confidentiality and data identification were conducted in evaluating the feasibility of the approach. The focus of the experiments was to confirm that repetitive manual tasks can be automated, thus reducing the focus of a Data Scientist on data identification and thereby providing more focus towards the extraction and analysis of the data itself. The origin of the datasets used were Private/Business and Public/Governmental and exhibited diverse characteristics in relation to the number of files and size of the files. The experimental work confirmed that: (a) the use of algorithmic techniques attributed to the substantial decrease in false positives regarding the identification of confidential information; (b) evidence that the use of a fraction of a data set along with statistical analysis and supervised learning is sufficient in identifying the structure of information within it. With this approach, the issues of understanding the nature of data can be mitigated, enabling a greater focus on meaningful interpretation of the heterogeneous data. © 2022, The Author(s).","Big Data; Contextual integrity; Data characterization; Data confidentiality; Data Format; Data origination; Delimiter determination; Metadata; Variety",,Article,Scopus,2-s2.0-85122723984
"Singh A., Glińska-Neweś A.","57193264185;36020019100;","Modeling the public attitude towards organic foods: a big data and text mining approach",2022,"Journal of Big Data","9","1","2","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122543553&doi=10.1186%2fs40537-021-00551-6&partnerID=40&md5=441003ff6db17d98ca0b5f3723dc4084","This study aims to identify the topics that users post on Twitter about organic foods and to analyze the emotion-based sentiment of those tweets. The study addresses a call for an application of big data and text mining in different fields of research, as well as proposes more objective research methods in studies on food consumption. There is a growing interest in understanding consumer choices for foods which are caused by the predominant contribution of the food industry to climate change. So far, customer attitudes towards organic food have been studied mostly with self-reported methods, such as questionnaires and interviews, which have many limitations. Therefore, in the present study, we used big data and text mining techniques as more objective methods to analyze the public attitude about organic foods. A total of 43,724 Twitter posts were extracted with streaming Application Programming Interface (API). Latent Dirichlet Allocation (LDA) algorithm was applied for topic modeling. A test of topic significance was performed to evaluate the quality of the topics. Public sentiment was analyzed based on the NRC emotion lexicon by utilizing Syuzhet package. Topic modeling results showed that people discuss on variety of themes related to organic foods such as plant-based diet, saving the planet, organic farming and standardization, authenticity, and food delivery, etc. Sentiment analysis results suggest that people view organic foods positively, though there are also people who are skeptical about the claims that organic foods are natural and free from chemicals and pesticides. The study contributes to the field of consumer behavior by implementing research methods grounded in text mining and big data. The study contributes also to the advancement of research in the field of sustainable food consumption by providing a fresh perspective on public attitude toward organic foods, filling the gaps in existing literature and research. © 2021, The Author(s).","Big data; Latent Dirichlet Allocation (LDA); Machine learning; Organic foods; Sentiment analysis; Text mining; Topic modeling",,Article,Scopus,2-s2.0-85122543553
"Batko K., Ślęzak A.","55322139800;7004682145;","The use of Big Data Analytics in healthcare",2022,"Journal of Big Data","9","1","3","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122536835&doi=10.1186%2fs40537-021-00553-4&partnerID=40&md5=e232da0eb0d783d1d397da2a18aba7ad","The introduction of Big Data Analytics (BDA) in healthcare will allow to use new technologies both in treatment of patients and health management. The paper aims at analyzing the possibilities of using Big Data Analytics in healthcare. The research is based on a critical analysis of the literature, as well as the presentation of selected results of direct research on the use of Big Data Analytics in medical facilities. The direct research was carried out based on research questionnaire and conducted on a sample of 217 medical facilities in Poland. Literature studies have shown that the use of Big Data Analytics can bring many benefits to medical facilities, while direct research has shown that medical facilities in Poland are moving towards data-based healthcare because they use structured and unstructured data, reach for analytics in the administrative, business and clinical area. The research positively confirmed that medical facilities are working on both structural data and unstructured data. The following kinds and sources of data can be distinguished: from databases, transaction data, unstructured content of emails and documents, data from devices and sensors. However, the use of data from social media is lower as in their activity they reach for analytics, not only in the administrative and business but also in the clinical area. It clearly shows that the decisions made in medical facilities are highly data-driven. The results of the study confirm what has been analyzed in the literature that medical facilities are moving towards data-based healthcare, together with its benefits. © 2022, The Author(s).","Big Data; Big Data Analytics; Data-driven healthcare",,Article,Scopus,2-s2.0-85122536835
