Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"Jin Y., Yang Y.","57223046312;56151669300;","ProtPlat: an efficient pre-training platform for protein classification based on FastText",2022,"BMC Bioinformatics","23","1","66","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124578474&doi=10.1186%2fs12859-022-04604-2&partnerID=40&md5=aefca152c2b6d54c5092f8b447606491","Background: For the past decades, benefitting from the rapid growth of protein sequence data in public databases, a lot of machine learning methods have been developed to predict physicochemical properties or functions of proteins using amino acid sequence features. However, the prediction performance often suffers from the lack of labeled data. In recent years, pre-training methods have been widely studied to address the small-sample issue in computer vision and natural language processing fields, while specific pre-training techniques for protein sequences are few. Results: In this paper, we propose a pre-training platform for representing protein sequences, called ProtPlat, which uses the Pfam database to train a three-layer neural network, and then uses specific training data from downstream tasks to fine-tune the model. ProtPlat can learn good representations for amino acids, and at the same time achieve efficient classification. We conduct experiments on three protein classification tasks, including the identification of type III secreted effectors, the prediction of subcellular localization, and the recognition of signal peptides. The experimental results show that the pre-training can enhance model performance effectively and ProtPlat is competitive to the state-of-the-art predictors, especially for small datasets. We implement the ProtPlat platform as a web service (https://compbio.sjtu.edu.cn/protplat) that is accessible to the public. Conclusions: To enhance the feature representation of protein amino acid sequences and improve the performance of sequence-based classification tasks, we develop ProtPlat, a general platform for the pre-training of protein sequences, which is featured by a large-scale supervised training based on Pfam database and an efficient learning model, FastText. The experimental results of three downstream classification tasks demonstrate the efficacy of ProtPlat. © 2022, The Author(s).","Pre-training; Protein sequence classification; ProtPlat; Web server","Amino acids; Classification (of information); Database systems; Forecasting; HTTP; Learning algorithms; Learning systems; Natural language processing systems; Network layers; Physicochemical properties; Web services; Amino acid sequence; Classification tasks; Down-stream; Pre-training; Protein Classification; Protein sequence classification; Protein sequences; Protplat; Training platform; Web servers; Proteins; protein; amino acid sequence; machine learning; natural language processing; Amino Acid Sequence; Machine Learning; Natural Language Processing; Neural Networks, Computer; Proteins",Article,Scopus,2-s2.0-85124578474
"Pressat-Laffouilhère T., Balayé P., Dahamna B., Lelong R., Billey K., Darmoni S.J., Grosjean J.","57206664920;57209643532;55931827000;56724139200;57217245257;55404507100;45161346600;","Evaluation of Doc’EDS: a French semantic search tool to query health documents from a clinical data warehouse",2022,"BMC Medical Informatics and Decision Making","22","1","34","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124323777&doi=10.1186%2fs12911-022-01762-4&partnerID=40&md5=f061018ceaf941da201dd19fb28ce285","Background: Unstructured data from electronic health records represent a wealth of information. Doc’EDS is a pre-screening tool based on textual and semantic analysis. The Doc’EDS system provides a graphic user interface to search documents in French. The aim of this study was to present the Doc’EDS tool and to provide a formal evaluation of its semantic features. Methods: Doc’EDS is a search tool built on top of the clinical data warehouse developed at Rouen University Hospital. This tool is a multilevel search engine combining structured and unstructured data. It also provides basic analytical features and semantic utilities. A formal evaluation was conducted to measure the impact of Natural Language Processing algorithms. Results: Approximately 18.1 million narrative documents are stored in Doc’EDS. The formal evaluation was conducted in 5000 clinical concepts that were manually collected. The F-measures of negative concepts and hypothetical concepts were respectively 0.89 and 0.57. Conclusion: In this formal evaluation, we have shown that Doc’EDS is able to deal with language subtleties to enhance an advanced full text search in French health documents. The Doc’EDS tool is currently used on a daily basis to help researchers to identify patient cohorts thanks to unstructured data. © 2022, The Author(s).","Clinical data warehouse; Cohort identification; Electronic health record; Information retrieval; Semantics","adult; algorithm; article; cohort analysis; data warehouse; electronic health record; female; human; human experiment; information retrieval; male; narrative; natural language processing; search engine; semantics; university hospital",Article,Scopus,2-s2.0-85124323777
"You Y., Jiang J., Jiang Z., Yang P., Liu B., Feng H., Wang X., Li N.","57439994500;57221178709;57202645862;57219603466;8444144500;57439651200;9239023700;56424359800;","TIM: threat context-enhanced TTP intelligence mining on unstructured threat data",2022,"Cybersecurity","5","1","3","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124044077&doi=10.1186%2fs42400-021-00106-5&partnerID=40&md5=fb087c5640cac29d9282ea3d09553ef2","TTPs (Tactics, Techniques, and Procedures), which represent an attacker’s goals and methods, are the long period and essential feature of the attacker. Defenders can use TTP intelligence to perform the penetration test and compensate for defense deficiency. However, most TTP intelligence is described in unstructured threat data, such as APT analysis reports. Manually converting natural language TTPs descriptions to standard TTP names, such as ATT&CK TTP names and IDs, is time-consuming and requires deep expertise. In this paper, we define the TTP classification task as a sentence classification task. We annotate a new sentence-level TTP dataset with 6 categories and 6061 TTP descriptions from 10761 security analysis reports. We construct a threat context-enhanced TTP intelligence mining (TIM) framework to mine TTP intelligence from unstructured threat data. The TIM framework uses TCENet (Threat Context Enhanced Network) to find and classify TTP descriptions, which we define as three continuous sentences, from textual data. Meanwhile, we use the element features of TTP in the descriptions to enhance the TTPs classification accuracy of TCENet. The evaluation result shows that the average classification accuracy of our proposed method on the 6 TTP categories reaches 0.941. The evaluation results also show that adding TTP element features can improve our classification accuracy compared to using only text features. TCENet also achieved the best results compared to the previous document-level TTP classification works and other popular text classification methods, even in the case of few-shot training samples. Finally, the TIM framework organizes TTP descriptions and TTP elements into STIX 2.1 format as final TTP intelligence for sharing the long-period and essential attack behavior characteristics of attackers. In addition, we transform TTP intelligence into sigma detection rules for attack behavior detection. Such TTP intelligence and rules can help defenders deploy long-term effective threat detection and perform more realistic attack simulations to strengthen defense. © 2022, The Author(s).","Advanced persistent threat (APT); Natural language processing (NLP); Threat intelligence; TTPs","Classification (of information); Information retrieval systems; Network security; Text processing; Advanced persistent threat; Attack behavior; Classification accuracy; Classification tasks; Essential features; Evaluation results; Natural language processing; Penetration test; Tactic, technique, and procedure; Threat intelligence; Natural language processing systems",Article,Scopus,2-s2.0-85124044077
"Pan X., Huang P., Li S., Cui L.","56155626800;57439435000;57439953400;57199474030;","MCRWR: a new method to measure the similarity of documents based on semantic network",2022,"BMC Bioinformatics","23","1","56","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124017916&doi=10.1186%2fs12859-022-04578-1&partnerID=40&md5=003bffcd53ee5f1966efb851ae8d667d","Background: Besides Boolean retrieval with medical subject headings (MeSH), PubMed provides users with an alternative way called “Related Articles” to access and collect relevant documents based on semantic similarity. To explore the functionality more efficiently and more accurately, we proposed an improved algorithm by measuring the semantic similarity of PubMed citations based on the MeSH-concept network model. Results: Three article similarity networks are obtained using MeSH-concept random walk with restart (MCRWR), MeSH random walk with restart (MRWR) and PubMed related article (PMRA) respectively. The area under receiver operating characteristic (ROC) curve of MCRWR, MRWR and PMRA is 0.93, 0.90, and 0.67 respectively. Precisions of MCRWR and MRWR under various similarity thresholds are higher than that of PMRA. Mean value of P5 of MCRWR is 0.742, which is much higher than those of MRWR (0.692) and PMRA (0.223). In the article semantic similarity network of “Genes & Function of organ & Disease” based on MCRWR algorithm, four topics are identified according to golden standards. Conclusion: MeSH-concept random walk with restart algorithm has better performance in constructing article semantic similarity network, which can reveal the implicitly semantic association between documents. The efficiency and accuracy of retrieving semantic-related documents have been improved a lot. © 2022, The Author(s).","Medical subject headings; Network analysis; Random walk with restart algorithm; Semantic similarity network","Mesh generation; Random processes; Semantic Web; Document-based; Improved * algorithm; Medical subject headings; Random walk with restart; Random walk with restart algorithm; Relevant documents; Semantic similarity; Semantic similarity network; Semantics networks; Similarity network; Semantics; algorithm; Medical Subject Headings; Medline; semantic web; semantics; Algorithms; Medical Subject Headings; PubMed; Semantic Web; Semantics",Article,Scopus,2-s2.0-85124017916
"Garland J., Ghazi-Zahedi K., Young J.-G., Hébert-Dufresne L., Galesic M.","56581387600;56896147400;55796127900;36865979800;35606385600;","Impact and dynamics of hate and counter speech online",2022,"EPJ Data Science","11","1","3","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123624342&doi=10.1140%2fepjds%2fs13688-021-00314-6&partnerID=40&md5=923b70abc1720b642dd2c620d23aef7f","Citizen-generated counter speech is a promising way to fight hate speech and promote peaceful, non-polarized discourse. However, there is a lack of large-scale longitudinal studies of its effectiveness for reducing hate speech. To this end, we perform an exploratory analysis of the effectiveness of counter speech using several different macro- and micro-level measures to analyze 180,000 political conversations that took place on German Twitter over four years. We report on the dynamic interactions of hate and counter speech over time and provide insights into whether, as in ‘classic’ bullying situations, organized efforts are more effective than independent individuals in steering online discourse. Taken together, our results build a multifaceted picture of the dynamics of hate and counter speech online. While we make no causal claims due to the complexity of discourse dynamics, our findings suggest that organized hate speech is associated with changes in public discourse and that counter speech—especially when organized—may help curb hateful rhetoric in online discourse. © 2022, The Author(s).","Counter speech; Hate speech; Natural language processing; Time-series analysis; Twitter","Dynamics; Natural language processing systems; Speech; Time series analysis; Counter speech; Dynamic interaction; Exploratory analysis; Hate speech; Large-scales; Longitudinal study; Micro level; Social networking (online)",Article,Scopus,2-s2.0-85123624342
"Wang W., Jiang X., Tian S., Liu P., Dang D., Su Y., Lookman T., Xie J.","57419420500;57189508121;57420467600;57216910377;57420467700;13408937200;7003587333;7402994953;","Automated pipeline for superalloy data by text mining",2022,"npj Computational Materials","8","1","9","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123212834&doi=10.1038%2fs41524-021-00687-2&partnerID=40&md5=dded4be4ba764e6011738c84e5daab7f","Data provides a foundation for machine learning, which has accelerated data-driven materials design. The scientific literature contains a large amount of high-quality, reliable data, and automatically extracting data from the literature continues to be a challenge. We propose a natural language processing pipeline to capture both chemical composition and property data that allows analysis and prediction of superalloys. Within 3 h, 2531 records with both composition and property are extracted from 14,425 articles, covering γ′ solvus temperature, density, solidus, and liquidus temperatures. A data-driven model for γ′ solvus temperature is built to predict unexplored Co-based superalloys with high γ′ solvus temperatures within a relative error of 0.81%. We test the predictions via synthesis and characterization of three alloys. A web-based toolkit as an online open-source platform is provided and expected to serve as the basis for a general method to search for targeted materials using data extracted from the literature. © 2022, The Author(s).",,"Chemical analysis; Cobalt alloys; Data mining; Learning algorithms; Natural language processing systems; Pipelines; Superalloys; Chemical composition data; Data driven; High quality; Large amounts; Materials design; Property; Property data; Scientific literature; Text-mining; γ'solvus temperature; Forecasting",Article,Scopus,2-s2.0-85123212834
"Sharma A., Jain P., Mahgoub A., Zhou Z., Mahadik K., Chaterji S.","57344403300;57223339591;56878717700;57385176900;54583962500;18133715900;","Lerna: transformer architectures for configuring error correction tools for short- and long-read genome sequencing",2022,"BMC Bioinformatics","23","1","25","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122518709&doi=10.1186%2fs12859-021-04547-0&partnerID=40&md5=55efd92e4c4e8b4dc231396ce8ce1189","Background: Sequencing technologies are prone to errors, making error correction (EC) necessary for downstream applications. EC tools need to be manually configured for optimal performance. We find that the optimal parameters (e.g., k-mer size) are both tool- and dataset-dependent. Moreover, evaluating the performance (i.e., Alignment-rate or Gain) of a given tool usually relies on a reference genome, but quality reference genomes are not always available. We introduce Lerna for the automated configuration of k-mer-based EC tools. Lerna first creates a language model (LM) of the uncorrected genomic reads, and then, based on this LM, calculates a metric called the perplexity metric to evaluate the corrected reads for different parameter choices. Next, it finds the one that produces the highest alignment rate without using a reference genome. The fundamental intuition of our approach is that the perplexity metric is inversely correlated with the quality of the assembly after error correction. Therefore, Lerna leverages the perplexity metric for automated tuning of k-mer sizes without needing a reference genome. Results: First, we show that the best k-mer value can vary for different datasets, even for the same EC tool. This motivates our design that automates k-mer size selection without using a reference genome. Second, we show the gains of our LM using its component attention-based transformers. We show the model’s estimation of the perplexity metric before and after error correction. The lower the perplexity after correction, the better the k-mer size. We also show that the alignment rate and assembly quality computed for the corrected reads are strongly negatively correlated with the perplexity, enabling the automated selection of k-mer values for better error correction, and hence, improved assembly quality. We validate our approach on both short and long reads. Additionally, we show that our attention-based models have significant runtime improvement for the entire pipeline—18× faster than previous works, due to parallelizing the attention mechanism and the use of JIT compilation for GPU inferencing. Conclusion: Lerna improves de novo genome assembly by optimizing EC tools. Our code is made available in a public repository at: https://github.com/icanforce/lerna-genomics. © 2021, The Author(s).","Automated configuration tuning; Error correction; Nanopore reads; Natural language processing (NLP); PacBio reads; Parameter search space; Perplexity metric; Transformer networks","Automation; Bioinformatics; Ion beams; Nanopores; Natural language processing systems; Automated configuration; Automated configuration tuning; Errors correction; Language model; Nanopore read; Natural language processing; Pacbio read; Parameter search space; Perplexity metric; Transformer network; Error correction; algorithm; DNA sequence; genomics; high throughput sequencing; nucleotide sequence; software; Algorithms; Base Sequence; Genomics; High-Throughput Nucleotide Sequencing; Sequence Analysis, DNA; Software",Article,Scopus,2-s2.0-85122518709
"Lastra-Díaz J.J., Lara-Clares A., Garcia-Serrano A.","56904281200;57198489345;55930769700;","HESML: a real-time semantic measures library for the biomedical domain with a reproducible survey",2022,"BMC Bioinformatics","23","1","23","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122499743&doi=10.1186%2fs12859-021-04539-0&partnerID=40&md5=b37d4bcb5a825efceed7000b3b721944","Background: Ontology-based semantic similarity measures based on SNOMED-CT, MeSH, and Gene Ontology are being extensively used in many applications in biomedical text mining and genomics respectively, which has encouraged the development of semantic measures libraries based on the aforementioned ontologies. However, current state-of-the-art semantic measures libraries have some performance and scalability drawbacks derived from their ontology representations based on relational databases, or naive in-memory graph representations. Likewise, a recent reproducible survey on word similarity shows that one hybrid IC-based measure which integrates a shortest-path computation sets the state of the art in the family of ontology-based semantic measures. However, the lack of an efficient shortest-path algorithm for their real-time computation prevents both their practical use in any application and the use of any other path-based semantic similarity measure. Results: To bridge the two aforementioned gaps, this work introduces for the first time an updated version of the HESML Java software library especially designed for the biomedical domain, which implements the most efficient and scalable ontology representation reported in the literature, together with a new method for the approximation of the Dijkstra’s algorithm for taxonomies, called Ancestors-based Shortest-Path Length (AncSPL), which allows the real-time computation of any path-based semantic similarity measure. Conclusions: We introduce a set of reproducible benchmarks showing that HESML outperforms by several orders of magnitude the current state-of-the-art libraries in the three aforementioned biomedical ontologies, as well as the real-time performance and approximation quality of the new AncSPL shortest-path algorithm. Likewise, we show that AncSPL linearly scales regarding the dimension of the common ancestor subgraph regardless of the ontology size. Path-based measures based on the new AncSPL algorithm are up to six orders of magnitude faster than their exact implementation in large ontologies like SNOMED-CT and GO. Finally, we provide a detailed reproducibility protocol and dataset as supplementary material to allow the exact replication of all our experiments and results. © 2021, The Author(s).","Gene ontology; HESML; Information content models; MeSH; Ontology-based semantic similarity measures; Semantic measures library; SNOMED-CT; WordNet","Approximation algorithms; Benchmarking; Bioinformatics; Computational efficiency; Computer software; Gene Ontology; Genes; Graph theory; Mesh generation; Semantics; Surveys; Content modeling; Gene ontology; HESML; Information content model; Information contents; MeSH; Ontology-based; Ontology-based semantic similarity measure; Semantic measure library; Semantic measures; Semantic similarity measures; SNOMED-CT; Wordnet; Libraries; article; Dijkstra's algorithm; gene ontology; library; medical ontology; reproducibility; software; Systematized Nomenclature of Medicine; taxonomy; biological ontology; Medical Subject Headings; semantics; Systematized Nomenclature of Medicine; Biological Ontologies; Medical Subject Headings; Reproducibility of Results; Semantics; Systematized Nomenclature of Medicine",Article,Scopus,2-s2.0-85122499743
"Elangovan A., Li Y., Pires D.E.V., Davis M.J., Verspoor K.","56950365000;57192526255;26028060700;35419216300;12772581800;","Large-scale protein-protein post-translational modification extraction with distant supervision and confidence calibrated BioBERT",2022,"BMC Bioinformatics","23","1","4","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122283263&doi=10.1186%2fs12859-021-04504-x&partnerID=40&md5=c6110b010fc432b081ea0b8f506e5557","Motivation: Protein-protein interactions (PPIs) are critical to normal cellular function and are related to many disease pathways. A range of protein functions are mediated and regulated by protein interactions through post-translational modifications (PTM). However, only 4% of PPIs are annotated with PTMs in biological knowledge databases such as IntAct, mainly performed through manual curation, which is neither time- nor cost-effective. Here we aim to facilitate annotation by extracting PPIs along with their pairwise PTM from the literature by using distantly supervised training data using deep learning to aid human curation. Method: We use the IntAct PPI database to create a distant supervised dataset annotated with interacting protein pairs, their corresponding PTM type, and associated abstracts from the PubMed database. We train an ensemble of BioBERT models—dubbed PPI-BioBERT-x10—to improve confidence calibration. We extend the use of ensemble average confidence approach with confidence variation to counteract the effects of class imbalance to extract high confidence predictions. Results and conclusion: The PPI-BioBERT-x10 model evaluated on the test set resulted in a modest F1-micro 41.3 (P =5 8.1, R = 32.1). However, by combining high confidence and low variation to identify high quality predictions, tuning the predictions for precision, we retained 19% of the test predictions with 100% precision. We evaluated PPI-BioBERT-x10 on 18 million PubMed abstracts and extracted 1.6 million (546507 unique PTM-PPI triplets) PTM-PPI predictions, and filter ≈ 5700 (4584 unique) high confidence predictions. Of the 5700, human evaluation on a small randomly sampled subset shows that the precision drops to 33.7% despite confidence calibration and highlights the challenges of generalisability beyond the test set even with confidence calibration. We circumvent the problem by only including predictions associated with multiple papers, improving the precision to 58.8%. In this work, we highlight the benefits and challenges of deep learning-based text mining in practice, and the need for increased emphasis on confidence calibration to facilitate human curation efforts. © 2021, The Author(s).","BioBERT; Deep learning; Distant supervision; Natural language processing; Post-translational modifications; Protein-protein interaction","Abstracting; Cost effectiveness; Deep learning; Filtration; Forecasting; Natural language processing systems; Proteins; BioBERT; Confidence predictions; Deep learning; Distant supervision; High confidence; Human curation; Large scale proteins; Post-translational modifications; Protein-protein interactions; Test sets; Calibration; protein; data mining; human; Medline; protein processing; Data Mining; Humans; Protein Processing, Post-Translational; Proteins; PubMed",Article,Scopus,2-s2.0-85122283263
"Ayadi M.G., Bouslimi R., Akaichi J.","57189028782;57120092800;55961061400;","Medical social networks content mining for a semantic annotation",2022,"Social Network Analysis and Mining","12","1","17","","",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120952140&doi=10.1007%2fs13278-021-00848-7&partnerID=40&md5=92700922ca51c0cd93754793f62cdf8b","The interactions between subscribers of the health-related social networking (HSNs) platforms rise the production and sharing of a huge amount of multimedia content, daily, by permitting them to upload their medical images. These images become the centre of communication in various multilingual expressions immediately describing observations, comments and health checkups. As a part of this exchange, it is clear that these spaces are a valuable source of subscribers-generated information. Besides, it is still an open question to enable subscribers to investigate relevant information, due to the diversity of the available content. So, it is vital to engage new mechanisms in order to pull out information and acquaintance from this content. For this purpose, we have implemented a content analysis model of health-related information to get an overview of the medical content available. We present a semantic terms-based approach to pull out pertinent terms and concepts from the text material. As a result, notable extracted terms and keywords will be applied, subsequently, to present to annotate medical images, to direct users to an appropriate seeking task, through the SN site. So, the analysis method concentrates on algorithms based on statistical methods and external multilingual semantic resources to cover and treat this situation. It is essential also to deal with such ambiguities causing the efficacy decreasing of the search function. Our study is validated by a set of experiments and compared with some existing models. Experimental results have ensured that the presented model has better findings, in terms of performance and satisfaction. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.","Health information; Medical social network; MeSh thesaurus; Multilingual mixed approach; Semantic indexation","Medical imaging; MESH networking; Semantic Web; Semantics; Social networking (online); Content mining; Health informations; Medical social network; Mesh thesaurus; Mixed approach; Multilingual mixed approach; Pull-out; Semantic annotations; Semantic indexation; Social-networking; Mesh generation",Article,Scopus,2-s2.0-85120952140
